sample-id	original_sample_id	length_original	length_cleaned	was_modified	site	marker	source_file	sampleMaterial	substratumSizeClass	habitatType	aquMicrobeType	elevation	aquaticSiteType	collection_date	year	bout	season	run_id	bout_label
RUSH-21A-28-2520-H25JWDRX5-16S	RUSH_21A_28_2520_H25JWDRX5_16S	30	30	TRUE	LEWI	16S	sample_name_mapping_16S_LEWI.tsv	biofilm	cobble	riffle	epilithon	152	stream	2021-03	2021	1	Spring	H25JWDRX5	Early
RUSH-21A-28-2522-H25JWDRX5-16S	RUSH_21A_28_2522_H25JWDRX5_16S	30	30	TRUE	LEWI	16S	sample_name_mapping_16S_LEWI.tsv	biofilm	cobble	riffle	epilithon	152	stream	2021-03	2021	1	Spring	H25JWDRX5	Early
RUSH-21A-31-2869-H25JWDRX5-16S	RUSH_21A_31_2869_H25JWDRX5_16S	30	30	TRUE	LEWI	16S	sample_name_mapping_16S_LEWI.tsv	biofilm	cobble	riffle	epilithon	152	stream	2021-07	2021	2	Summer	H25JWDRX5	Mid
RUSH-21A-31-2870-H25JWDRX5-16S	RUSH_21A_31_2870_H25JWDRX5_16S	30	30	TRUE	LEWI	16S	sample_name_mapping_16S_LEWI.tsv	biofilm	cobble	riffle	epilithon	152	stream	2021-07	2021	2	Summer	H25JWDRX5	Mid
RUSH-21A-31-3279-H25JWDRX5-16S	RUSH_21A_31_3279_H25JWDRX5_16S	30	30	TRUE	LEWI	16S	sample_name_mapping_16S_LEWI.tsv	biofilm	cobble	riffle	epilithon	152	stream	2021-07	2021	2	Summer	H25JWDRX5	Mid
RUSH-22A-02-0184-H5CGTDRX5-16S	RUSH_22A_02_0184_H5CGTDRX5_16S	30	30	TRUE	LEWI	16S	sample_name_mapping_16S_LEWI.tsv	biofilm	cobble	riffle	epilithon	152	stream	2021-11	2021	3	Fall	H5CGTDRX5	Late
RUSH-22A-02-0185-H5CGTDRX5-16S	RUSH_22A_02_0185_H5CGTDRX5_16S	30	30	TRUE	LEWI	16S	sample_name_mapping_16S_LEWI.tsv	biofilm	cobble	riffle	epilithon	152	stream	2021-11	2021	3	Fall	H5CGTDRX5	Late
RUSH-22A-02-0186-H5CGTDRX5-16S	RUSH_22A_02_0186_H5CGTDRX5_16S	30	30	TRUE	LEWI	16S	sample_name_mapping_16S_LEWI.tsv	biofilm	cobble	riffle	epilithon	152	stream	2021-11	2021	3	Fall	H5CGTDRX5	Late
RUSH-22A-04-0328-H5CGTDRX5-16S	RUSH_22A_04_0328_H5CGTDRX5_16S	30	30	TRUE	LEWI	16S	sample_name_mapping_16S_LEWI.tsv	biofilm	cobble	riffle	epilithon	152	stream	2022-03	2022	1	Spring	H5CGTDRX5	Early
RUSH-22A-04-0329-H5CGTDRX5-16S	RUSH_22A_04_0329_H5CGTDRX5_16S	30	30	TRUE	LEWI	16S	sample_name_mapping_16S_LEWI.tsv	biofilm	cobble	riffle	epilithon	152	stream	2022-03	2022	1	Spring	H5CGTDRX5	Early
RUSH-22A-04-0330-H5CGTDRX5-16S	RUSH_22A_04_0330_H5CGTDRX5_16S	30	30	TRUE	LEWI	16S	sample_name_mapping_16S_LEWI.tsv	biofilm	cobble	riffle	epilithon	152	stream	2022-03	2022	1	Spring	H5CGTDRX5	Early
RUSH-22A-01-0087-H5CGTDRX5-16S	RUSH_22A_01_0087_H5CGTDRX5_16S	30	30	TRUE	LEWI	16S	sample_name_mapping_16S_LEWI.tsv	biofilm	cobble	riffle	epilithon	152	stream	2022-07	2022	2	Summer	H5CGTDRX5	Mid
RUSH-22A-01-0088-H5CGTDRX5-16S	RUSH_22A_01_0088_H5CGTDRX5_16S	30	30	TRUE	LEWI	16S	sample_name_mapping_16S_LEWI.tsv	biofilm	cobble	riffle	epilithon	152	stream	2022-07	2022	2	Summer	H5CGTDRX5	Mid
RUSH-22A-01-0089-H5CGTDRX5-16S	RUSH_22A_01_0089_H5CGTDRX5_16S	30	30	TRUE	LEWI	16S	sample_name_mapping_16S_LEWI.tsv	biofilm	cobble	riffle	epilithon	152	stream	2022-07	2022	2	Summer	H5CGTDRX5	Mid
RUSH-22A-09-0795-H5CGTDRX5-16S	RUSH_22A_09_0795_H5CGTDRX5_16S	30	30	TRUE	LEWI	16S	sample_name_mapping_16S_LEWI.tsv	biofilm	silt	run	epilithon	152	stream	2022-10	2022	3	Fall	H5CGTDRX5	Late
RUSH-22A-09-0796-H5CGTDRX5-16S	RUSH_22A_09_0796_H5CGTDRX5_16S	30	30	TRUE	LEWI	16S	sample_name_mapping_16S_LEWI.tsv	biofilm	silt	run	epilithon	152	stream	2022-10	2022	3	Fall	H5CGTDRX5	Late
