dnaSampleID	genomicsSampleID	site	year	month	collection_date	habitatType	aquMicrobeType	substratumSizeClass	sampleMaterial.x	sampleTotalReadNumber	sampleFilteredReadNumber	sequencerRunID	instrument_model	qaqcStatus.x	qaqcStatus.y
LEWI.20210728.EPILITHON.3.DNA-DNA1	LEWI.20210728.EPILITHON.3.DNA	LEWI	2021	7	2021-07	riffle	epilithon	cobble	biofilm	3798890	3492129	HLGJLBGXM	NextSeq550	Pass	Pass
LEWI.20210728.EPILITHON.2.DNA-DNA1	LEWI.20210728.EPILITHON.2.DNA	LEWI	2021	7	2021-07	riffle	epilithon	cobble	biofilm	4405860	3943474	HLGJLBGXM	NextSeq550	Pass	Pass
LEWI.20210728.EPILITHON.1.DNA-DNA1	LEWI.20210728.EPILITHON.1.DNA	LEWI	2021	7	2021-07	riffle	epilithon	cobble	biofilm	3527129	3074149	HLGJLBGXM	NextSeq550	Pass	Pass
LEWI.20220727.EPILITHON.2.DNA-DNA1	LEWI.20220727.EPILITHON.2.DNA	LEWI	2022	7	2022-07	riffle	epilithon	cobble	biofilm	22165657	19614048	HTLW3DSX7_PoolB	Illumina NovaSeq 6000	Pass	Pass
LEWI.20220727.EPILITHON.3.DNA-DNA1	LEWI.20220727.EPILITHON.3.DNA	LEWI	2022	7	2022-07	riffle	epilithon	cobble	biofilm	60840927	52589260	HTLW3DSX7_PoolB	Illumina NovaSeq 6000	Pass	Pass
LEWI.20220727.EPILITHON.1.DNA-DNA1	LEWI.20220727.EPILITHON.1.DNA	LEWI	2022	7	2022-07	riffle	epilithon	cobble	biofilm	7956901	6279531	HTLW3DSX7_PoolB	Illumina NovaSeq 6000	Pass	Pass
LEWI.20230726.EPILITHON.1.DNA-DNA1	LEWI.20230726.EPILITHON.1.DNA	LEWI	2023	7	2023-07	riffle	epilithon	cobble	biofilm	464797174	354656298	22GHFFLT4	Illumina NovaSeq X 10B	Pass	NA
LEWI.20230726.EPILITHON.3.DNA-DNA1	LEWI.20230726.EPILITHON.3.DNA	LEWI	2023	7	2023-07	riffle	epilithon	cobble	biofilm	308704820	243526884	22GHFFLT4	Illumina NovaSeq X 10B	Pass	NA
LEWI.20230726.EPILITHON.2.DNA-DNA1	LEWI.20230726.EPILITHON.2.DNA	LEWI	2023	7	2023-07	riffle	epilithon	cobble	biofilm	632392648	488733110	22GHFFLT4	Illumina NovaSeq X 10B	Pass	NA
POSE.20210721.EPILITHON.2.DNA-DNA1	POSE.20210721.EPILITHON.2.DNA	POSE	2021	7	2021-07	riffle	epilithon	cobble	biofilm	4263914	3840384	HLGJLBGXM	NextSeq550	Pass	Pass
POSE.20210721.EPILITHON.5.DNA-DNA1	POSE.20210721.EPILITHON.5.DNA	POSE	2021	7	2021-07	riffle	epilithon	cobble	biofilm	4447836	4066457	HLGJLBGXM	NextSeq550	Pass	Pass
POSE.20210721.EPILITHON.4.DNA-DNA1	POSE.20210721.EPILITHON.4.DNA	POSE	2021	7	2021-07	riffle	epilithon	cobble	biofilm	3674893	2987872	HLGJLBGXM	NextSeq550	Pass	Pass
POSE.20210721.EPILITHON.3.DNA-DNA1	POSE.20210721.EPILITHON.3.DNA	POSE	2021	7	2021-07	riffle	epilithon	cobble	biofilm	4156488	3855640	HLGJLBGXM	NextSeq550	Pass	Pass
POSE.20210721.EPILITHON.1.DNA-DNA1	POSE.20210721.EPILITHON.1.DNA	POSE	2021	7	2021-07	riffle	epilithon	cobble	biofilm	4092209	3801568	HLGJLBGXM	NextSeq550	Pass	Pass
POSE.20220720.EPILITHON.3.DNA-DNA1	POSE.20220720.EPILITHON.3.DNA	POSE	2022	7	2022-07	riffle	epilithon	cobble	biofilm	72285914	62617804	HTLW3DSX7_PoolB	Illumina NovaSeq 6000	Pass	Pass
POSE.20220720.EPILITHON.5.DNA-DNA1	POSE.20220720.EPILITHON.5.DNA	POSE	2022	7	2022-07	riffle	epilithon	cobble	biofilm	48189484	38929925	HTLW3DSX7_PoolC	Illumina NovaSeq 6000	Pass	Pass
POSE.20220720.EPILITHON.2.DNA-DNA1	POSE.20220720.EPILITHON.2.DNA	POSE	2022	7	2022-07	riffle	epilithon	cobble	biofilm	67604928	59762275	HTLW3DSX7_PoolB	Illumina NovaSeq 6000	Pass	Pass
POSE.20220720.EPILITHON.1.DNA-DNA1	POSE.20220720.EPILITHON.1.DNA	POSE	2022	7	2022-07	riffle	epilithon	cobble	biofilm	48170585	42618318	HTLW3DSX7_PoolB	Illumina NovaSeq 6000	Pass	Pass
POSE.20220720.EPILITHON.4.DNA-DNA1	POSE.20220720.EPILITHON.4.DNA	POSE	2022	7	2022-07	riffle	epilithon	cobble	biofilm	80164556	67266639	HTLW3DSX7_PoolB	Illumina NovaSeq 6000	Pass	Pass
POSE.20230719.EPILITHON.2.DNA-DNA1	POSE.20230719.EPILITHON.2.DNA	POSE	2023	7	2023-07	riffle	epilithon	cobble	biofilm	348709712	268496122	22GHFFLT4	Illumina NovaSeq X 10B	Pass	NA
POSE.20230719.EPILITHON.5.DNA-DNA1	POSE.20230719.EPILITHON.5.DNA	POSE	2023	7	2023-07	riffle	epilithon	cobble	biofilm	410186300	339401986	22HGVCLT4	Illumina NovaSeq X 10B	Pass	NA
POSE.20230719.EPILITHON.3.DNA-DNA1	POSE.20230719.EPILITHON.3.DNA	POSE	2023	7	2023-07	riffle	epilithon	cobble	biofilm	288505776	245362542	22GHFFLT4	Illumina NovaSeq X 10B	Pass	NA
POSE.20230719.EPILITHON.1.DNA-DNA1	POSE.20230719.EPILITHON.1.DNA	POSE	2023	7	2023-07	riffle	epilithon	cobble	biofilm	540911096	404938692	22GHFFLT4	Illumina NovaSeq X 10B	Pass	NA
POSE.20230719.EPILITHON.4.DNA-DNA1	POSE.20230719.EPILITHON.4.DNA	POSE	2023	7	2023-07	riffle	epilithon	cobble	biofilm	368288776	295533922	22GHFFLT4	Illumina NovaSeq X 10B	Pass	NA
WALK.20210728.EPILITHON.2.DNA-DNA1	WALK.20210728.EPILITHON.2.DNA	WALK	2021	7	2021-07	riffle	epilithon	cobble	biofilm	1079643	543318	HH3KFBGXN	NextSeq550	Pass	Pass
WALK.20210728.EPILITHON.5.DNA-DNA1	WALK.20210728.EPILITHON.5.DNA	WALK	2021	7	2021-07	riffle	epilithon	cobble	biofilm	2113731	1758529	HH3KFBGXN	NextSeq550	Pass	Pass
WALK.20210728.EPILITHON.1.DNA-DNA1	WALK.20210728.EPILITHON.1.DNA	WALK	2021	7	2021-07	riffle	epilithon	cobble	biofilm	1420244	1103548	HH3KFBGXN	NextSeq550	Pass	Pass
WALK.20220707.EPILITHON.2.DNA-DNA1	WALK.20220707.EPILITHON.2.DNA	WALK	2022	7	2022-07	riffle	epilithon	cobble	biofilm	63806608	54782389	HTLW3DSX7_PoolC	Illumina NovaSeq 6000	Pass	Pass
WALK.20220707.EPILITHON.3.DNA-DNA1	WALK.20220707.EPILITHON.3.DNA	WALK	2022	7	2022-07	riffle	epilithon	cobble	biofilm	47718979	40842243	HTLW3DSX7_PoolC	Illumina NovaSeq 6000	Pass	Pass
WALK.20220707.EPILITHON.5.DNA-DNA1	WALK.20220707.EPILITHON.5.DNA	WALK	2022	7	2022-07	riffle	epilithon	cobble	biofilm	40526130	35641886	HTLW3DSX7_PoolC	Illumina NovaSeq 6000	Pass	Pass
WALK.20220707.EPILITHON.4.DNA-DNA1	WALK.20220707.EPILITHON.4.DNA	WALK	2022	7	2022-07	riffle	epilithon	cobble	biofilm	28243704	24863655	HTLW3DSX7_PoolC	Illumina NovaSeq 6000	Pass	Pass
WALK.20230706.EPILITHON.4.DNA-DNA1	WALK.20230706.EPILITHON.4.DNA	WALK	2023	7	2023-07	riffle	epilithon	cobble	biofilm	604481420	508599734	22G7LFLT4	Illumina NovaSeq X 10B	Pass	NA
WALK.20230706.EPILITHON.3.DNA-DNA1	WALK.20230706.EPILITHON.3.DNA	WALK	2023	7	2023-07	riffle	epilithon	cobble	biofilm	332052254	275180462	22G7LFLT4	Illumina NovaSeq X 10B	Pass	NA
WALK.20230706.EPILITHON.1.DNA-DNA1	WALK.20230706.EPILITHON.1.DNA	WALK	2023	7	2023-07	riffle	epilithon	cobble	biofilm	370666726	287494886	22G7LFLT4	Illumina NovaSeq X 10B	Pass	NA
WALK.20230706.EPILITHON.2.DNA-DNA1	WALK.20230706.EPILITHON.2.DNA	WALK	2023	7	2023-07	riffle	epilithon	cobble	biofilm	288290530	232742880	22G7LFLT4	Illumina NovaSeq X 10B	Pass	NA
WALK.20230706.EPILITHON.5.DNA-DNA1	WALK.20230706.EPILITHON.5.DNA	WALK	2023	7	2023-07	riffle	epilithon	pebble	biofilm	560876134	488344874	22G7LFLT4	Illumina NovaSeq X 10B	Pass	NA
MART.20210707.EPILITHON.7.DNA-DNA1	MART.20210707.EPILITHON.7.DNA	MART	2021	7	2021-07	pool	epilithon	cobble	biofilm	1328626	1205308	HH3KFBGXN	NextSeq550	Pass	Pass
MART.20210707.EPILITHON.3.DNA-DNA1	MART.20210707.EPILITHON.3.DNA	MART	2021	7	2021-07	riffle	epilithon	cobble	biofilm	2088307	1945965	HH3KFBGXN	NextSeq550	Pass	Pass
MART.20210707.EPILITHON.4.DNA-DNA1	MART.20210707.EPILITHON.4.DNA	MART	2021	7	2021-07	riffle	epilithon	cobble	biofilm	3187685	2817088	HH3KFBGXN	NextSeq550	Pass	Pass
MART.20210707.EPILITHON.1.DNA-DNA1	MART.20210707.EPILITHON.1.DNA	MART	2021	7	2021-07	riffle	epilithon	cobble	biofilm	3549122	3205618	HH3KFBGXN	NextSeq550	Pass	Pass
MART.20210707.EPILITHON.5.DNA-DNA1	MART.20210707.EPILITHON.5.DNA	MART	2021	7	2021-07	pool	epilithon	cobble	biofilm	2328255	1914514	HH3KFBGXN	NextSeq550	Pass	Pass
MART.20210707.EPILITHON.8.DNA-DNA1	MART.20210707.EPILITHON.8.DNA	MART	2021	7	2021-07	riffle	epilithon	cobble	biofilm	2663600	2373966	HH3KFBGXN	NextSeq550	Pass	Pass
MART.20210707.EPILITHON.6.DNA-DNA1	MART.20210707.EPILITHON.6.DNA	MART	2021	7	2021-07	riffle	epilithon	cobble	biofilm	2980528	2411512	HH3KFBGXN	NextSeq550	Pass	Pass
MART.20210707.EPILITHON.2.DNA-DNA1	MART.20210707.EPILITHON.2.DNA	MART	2021	7	2021-07	pool	epilithon	cobble	biofilm	2457613	2182557	HH3KFBGXN	NextSeq550	Pass	Pass
MART.20220713.EPILITHON.3.DNA-DNA1	MART.20220713.EPILITHON.3.DNA	MART	2022	7	2022-07	pool	epilithon	cobble	biofilm	43402839	35447659	HTLW3DSX7_PoolD	Illumina NovaSeq 6000	Pass	Pass
MART.20220713.EPILITHON.6.DNA-DNA1	MART.20220713.EPILITHON.6.DNA	MART	2022	7	2022-07	pool	epilithon	cobble	biofilm	75379867	58217712	HTLW3DSX7_PoolD	Illumina NovaSeq 6000	Pass	Pass
MART.20220713.EPILITHON.8.DNA-DNA1	MART.20220713.EPILITHON.8.DNA	MART	2022	7	2022-07	riffle	epilithon	cobble	biofilm	43890677	34993779	HTLW3DSX7_PoolD	Illumina NovaSeq 6000	Pass	Pass
