dnaSampleID	site	year	month	collection_date	habitatType	aquMicrobeType	substratumSizeClass	R1	R2
LEWI.20210728.EPILITHON.3.DNA-DNA1	LEWI	2021	7	2021-07	riffle	epilithon	cobble	LEWI_2021-07_1_R1.fastq.gz	LEWI_2021-07_1_R2.fastq.gz
LEWI.20210728.EPILITHON.2.DNA-DNA1	LEWI	2021	7	2021-07	riffle	epilithon	cobble	LEWI_2021-07_3_R1.fastq.gz	LEWI_2021-07_3_R2.fastq.gz
LEWI.20210728.EPILITHON.1.DNA-DNA1	LEWI	2021	7	2021-07	riffle	epilithon	cobble	LEWI_2021-07_2_R1.fastq.gz	LEWI_2021-07_2_R2.fastq.gz
LEWI.20220727.EPILITHON.2.DNA-DNA1	LEWI	2022	7	2022-07	riffle	epilithon	cobble	LEWI_2022-07_2_R1.fastq.gz	LEWI_2022-07_2_R2.fastq.gz
LEWI.20220727.EPILITHON.3.DNA-DNA1	LEWI	2022	7	2022-07	riffle	epilithon	cobble	LEWI_2022-07_3_R1.fastq.gz	LEWI_2022-07_3_R2.fastq.gz
LEWI.20220727.EPILITHON.1.DNA-DNA1	LEWI	2022	7	2022-07	riffle	epilithon	cobble	LEWI_2022-07_1_R1.fastq.gz	LEWI_2022-07_1_R2.fastq.gz
LEWI.20230726.EPILITHON.1.DNA-DNA1	LEWI	2023	7	2023-07	riffle	epilithon	cobble	LEWI_2023-07_3_R1.fastq.gz	LEWI_2023-07_3_R2.fastq.gz
LEWI.20230726.EPILITHON.3.DNA-DNA1	LEWI	2023	7	2023-07	riffle	epilithon	cobble	LEWI_2023-07_1_R1.fastq.gz	LEWI_2023-07_1_R2.fastq.gz
LEWI.20230726.EPILITHON.2.DNA-DNA1	LEWI	2023	7	2023-07	riffle	epilithon	cobble	LEWI_2023-07_2_R1.fastq.gz	LEWI_2023-07_2_R2.fastq.gz
POSE.20210721.EPILITHON.2.DNA-DNA1	POSE	2021	7	2021-07	riffle	epilithon	cobble	POSE_2021-07_4_R1.fastq.gz	POSE_2021-07_4_R2.fastq.gz
POSE.20210721.EPILITHON.5.DNA-DNA1	POSE	2021	7	2021-07	riffle	epilithon	cobble	POSE_2021-07_1_R1.fastq.gz	POSE_2021-07_1_R2.fastq.gz
POSE.20210721.EPILITHON.4.DNA-DNA1	POSE	2021	7	2021-07	riffle	epilithon	cobble	POSE_2021-07_2_R1.fastq.gz	POSE_2021-07_2_R2.fastq.gz
POSE.20210721.EPILITHON.3.DNA-DNA1	POSE	2021	7	2021-07	riffle	epilithon	cobble	POSE_2021-07_3_R1.fastq.gz	POSE_2021-07_3_R2.fastq.gz
POSE.20210721.EPILITHON.1.DNA-DNA1	POSE	2021	7	2021-07	riffle	epilithon	cobble	POSE_2021-07_5_R1.fastq.gz	POSE_2021-07_5_R2.fastq.gz
POSE.20220720.EPILITHON.3.DNA-DNA1	POSE	2022	7	2022-07	riffle	epilithon	cobble	POSE_2022-07_3_R1.fastq.gz	POSE_2022-07_3_R2.fastq.gz
POSE.20220720.EPILITHON.5.DNA-DNA1	POSE	2022	7	2022-07	riffle	epilithon	cobble	POSE_2022-07_5_R1.fastq.gz	POSE_2022-07_5_R2.fastq.gz
POSE.20220720.EPILITHON.2.DNA-DNA1	POSE	2022	7	2022-07	riffle	epilithon	cobble	POSE_2022-07_2_R1.fastq.gz	POSE_2022-07_2_R2.fastq.gz
POSE.20220720.EPILITHON.1.DNA-DNA1	POSE	2022	7	2022-07	riffle	epilithon	cobble	POSE_2022-07_1_R1.fastq.gz	POSE_2022-07_1_R2.fastq.gz
POSE.20220720.EPILITHON.4.DNA-DNA1	POSE	2022	7	2022-07	riffle	epilithon	cobble	POSE_2022-07_4_R1.fastq.gz	POSE_2022-07_4_R2.fastq.gz
POSE.20230719.EPILITHON.2.DNA-DNA1	POSE	2023	7	2023-07	riffle	epilithon	cobble	POSE_2023-07_3_R1.fastq.gz	POSE_2023-07_3_R2.fastq.gz
